"","STATE","CLUSTER"
"1","ALABAMA",1
"2","ALASKA",2
"3","ARIZONA",3
"4","ARKANSAS",1
"5","CALIFORNIA",3
"6","COLORADO",2
"7","CONNECTICUT",4
"8","DELAWARE",4
"9","DISTRICT OF COLUMBIA",5
"10","FLORIDA",1
"11","GEORGIA",1
"12","HAWAII",5
"13","IDAHO",6
"14","ILLINOIS",2
"15","INDIANA",6
"16","IOWA",7
"17","KANSAS",6
"18","KENTUCKY",6
"19","LOUISIANA",1
"20","MAINE",5
"21","MARYLAND",5
"22","MASSACHUSETTS",4
"23","MICHIGAN",2
"24","MINNESOTA",7
"25","MISSISSIPPI",1
"26","MISSOURI",6
"27","MONTANA",7
"28","NEBRASKA",7
"29","NEVADA",6
"30","NEW HAMPSHIRE",4
"31","NEW JERSEY",4
"32","NEW MEXICO",6
"33","NEW YORK",4
"34","NORTH CAROLINA",1
"35","NORTH DAKOTA",7
"36","OHIO",6
"37","OKLAHOMA",1
"38","OREGON",5
"39","PENNSYLVANIA",4
"40","RHODE ISLAND",6
"41","SOUTH CAROLINA",1
"42","SOUTH DAKOTA",7
"43","TENNESSEE",3
"44","TEXAS",1
"45","UTAH",6
"46","VERMONT",5
"47","VIRGINIA",1
"48","WASHINGTON",5
"49","WEST VIRGINIA",4
"50","WISCONSIN",7
"51","WYOMING",7
